STRAIN	BIOSAMPLE	SRA
IFM 62516	SAMD00013559	DRS015327
IFM 61610	SAMD00013558	DRS013325
IFM 55369	SAMD00013557	DRS013318
IFM 62115	SAMD00013556	DRS015326
IFM 59365	SAMD00013555	DRS015322
IFM 59073	SAMD00013554	DRS013323
IFM 61578	SAMD00013553	DRS015325
IFM 59056	SAMD00013552	DRS013319
IFM 59361	SAMD00013551	DRS013321
IFM 58026	SAMD00013550	DRS015319
IFM 61407	SAMD00013549	DRS013324
IFM 58401	SAMD00013548	DRS015321
IFM 59777	SAMD00013547	DRS015323
IFM 59359	SAMD00013546	DRS013320
IFM 58029	SAMD00013545	DRS015320
IFM 60514	SAMD00013544	DRS013322
IFM 61118	SAMD00013543	DRS015324
