BioSample_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	sample_name_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMD00013550	244	164	DRR017536	DRS015319	SAMD00013550	DRS015319	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013550	252	166	DRR017537	DRS015319	SAMD00013550	DRS015319	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013545	163	110	DRR017538	DRS015320	SAMD00013545	DRS015320	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013545	395	272	DRR017539	DRS015320	SAMD00013545	DRS015320	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013545	335	225	DRR017540	DRS015320	SAMD00013545	DRS015320	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013548	294	192	DRR017541	DRS015321	SAMD00013548	DRS015321	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013548	244	163	DRR017542	DRS015321	SAMD00013548	DRS015321	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013555	284	177	DRR017544	DRS015322	SAMD00013555	DRS015322	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013559	239	160	DRR017561	DRS015327	SAMD00013559	DRS015327	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013553	332	222	DRR017554	DRS015325	SAMD00013553	DRS015325	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013543	190	126	DRR017550	DRS015324	SAMD00013543	DRS015324	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013543	271	183	DRR017552	DRS015324	SAMD00013543	DRS015324	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013555	221	141	DRR017545	DRS015322	SAMD00013555	DRS015322	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013548	257	167	DRR017543	DRS015321	SAMD00013548	DRS015321	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013553	295	192	DRR017555	DRS015325	SAMD00013553	DRS015325	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013547	347	226	DRR017547	DRS015323	SAMD00013547	DRS015323	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013543	317	219	DRR017551	DRS015324	SAMD00013543	DRS015324	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013556	162	108	DRR017556	DRS015326	SAMD00013556	DRS015326	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013547	274	185	DRR017548	DRS015323	SAMD00013547	DRS015323	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013556	231	154	DRR017558	DRS015326	SAMD00013556	DRS015326	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013547	288	191	DRR017549	DRS015323	SAMD00013547	DRS015323	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013553	216	141	DRR017553	DRS015325	SAMD00013553	DRS015325	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013555	204	127	DRR017546	DRS015322	SAMD00013555	DRS015322	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013559	344	224	DRR017559	DRS015327	SAMD00013559	DRS015327	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013559	254	173	DRR017560	DRS015327	SAMD00013559	DRS015327	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013556	263	179	DRR017557	DRS015326	SAMD00013556	DRS015326	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
