BioSample_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	sample_name_s	Assay_Type_s	AssemblyName_s	BioProject_s	BioSampleModel_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s
SAMD00013557	583	325	DRR015087	DRS013318	SAMD00013557	DRS013318	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013557	141	87	DRR015088	DRS013318	SAMD00013557	DRS013318	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013557	651	382	DRR015089	DRS013318	SAMD00013557	DRS013318	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013552	114	67	DRR015090	DRS013319	SAMD00013552	DRS013319	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013552	66	37	DRR015091	DRS013319	SAMD00013552	DRS013319	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013552	564	335	DRR015092	DRS013319	SAMD00013552	DRS013319	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013552	760	460	DRR015093	DRS013319	SAMD00013552	DRS013319	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013546	517	299	DRR015094	DRS013320	SAMD00013546	DRS013320	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013546	273	181	DRR015095	DRS013320	SAMD00013546	DRS013320	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013546	651	382	DRR015096	DRS013320	SAMD00013546	DRS013320	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013551	421	243	DRR015097	DRS013321	SAMD00013551	DRS013321	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013551	208	138	DRR015098	DRS013321	SAMD00013551	DRS013321	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013551	536	321	DRR015099	DRS013321	SAMD00013551	DRS013321	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013544	508	281	DRR015100	DRS013322	SAMD00013544	DRS013322	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013544	260	167	DRR015101	DRS013322	SAMD00013544	DRS013322	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013544	649	368	DRR015102	DRS013322	SAMD00013544	DRS013322	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013554	0	0	DRR015103	DRS013323	SAMD00013554	DRS013323	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013554	0	0	DRR015104	DRS013323	SAMD00013554	DRS013323	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013554	644	357	DRR015105	DRS013323	SAMD00013554	DRS013323	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013554	876	473	DRR015106	DRS013323	SAMD00013554	DRS013323	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013549	391	234	DRR015107	DRS013324	SAMD00013549	DRS013324	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013549	268	179	DRR015108	DRS013324	SAMD00013549	DRS013324	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013549	649	368	DRR015109	DRS013324	SAMD00013549	DRS013324	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013558	544	309	DRR015110	DRS013325	SAMD00013558	DRS013325	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013558	118	74	DRR015111	DRS013325	SAMD00013558	DRS013325	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013558	553	330	DRR015112	DRS013325	SAMD00013558	DRS013325	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
SAMD00013550	304	199	DRR017535	DRS015319	SAMD00013550	DRS015319	WGS	<not provided>	PRJDB1541	Generic	CHIBA_U	public	0	PAIRED	<not provided>	Apr 21, 2014	Aspergillus fumigatus var. fumigatus	ILLUMINA	May 14, 2014	DRP001352	<not provided>	<not provided>	<not provided>
